"player","eventType","outcome","x","y","endX","endY","isTouch","isProgPass"
"Willian Arão","Dispossessed","Successful",41.3,37.4,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",71.9,22.6,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",64.9,67,NA,NA,TRUE,NA
"Willian Arão","Pass","Successful",38.2,40.3,53.1,25.8,TRUE,0
"Willian Arão","Pass","Unsuccessful",36.2,15.6,46.6,32.4,TRUE,0
"Willian Arão","Pass","Successful",32.3,43.9,43.8,30,TRUE,0
"Willian Arão","Pass","Successful",36.4,29.2,57.4,21.5,TRUE,1
"Willian Arão","Pass","Unsuccessful",64.9,59,90.1,23.7,TRUE,1
"Willian Arão","Pass","Successful",73.7,52.5,84.5,82.1,TRUE,0
"Willian Arão","Pass","Unsuccessful",31.9,56,39.4,100,TRUE,0
"Willian Arão","Pass","Successful",34.5,77.3,30.5,85.4,TRUE,0
"Willian Arão","Pass","Successful",30.3,66.7,23.6,52.4,TRUE,0
"Willian Arão","Pass","Successful",32.9,53.6,53.8,72.6,TRUE,1
"Willian Arão","Pass","Successful",46.9,49.4,55.7,66.3,TRUE,0
"Willian Arão","Pass","Unsuccessful",62.8,62,76.7,59.9,TRUE,1
"Willian Arão","Pass","Successful",38.8,45.2,60.9,16.2,TRUE,1
"Willian Arão","Pass","Successful",39.7,56.6,26.7,41.5,TRUE,0
"Willian Arão","Pass","Unsuccessful",37.7,78.5,39.7,71.2,TRUE,0
"Willian Arão","Pass","Successful",35,20.6,36,12.3,TRUE,0
"Willian Arão","Pass","Successful",30.5,57.2,39.5,74.4,TRUE,0
"Willian Arão","Pass","Successful",31.6,55.1,70.6,11.7,TRUE,1
"Willian Arão","Pass","Successful",27.7,51.5,27.4,28.6,TRUE,0
"Willian Arão","Pass","Successful",40.1,64.3,18.4,55.2,TRUE,0
"Willian Arão","Pass","Successful",27.6,57.9,33.3,82.7,TRUE,0
"Willian Arão","Pass","Successful",41.6,75,69.8,91.8,TRUE,1
"Willian Arão","Pass","Successful",36.3,68,66.7,75.2,TRUE,1
"Willian Arão","Pass","Successful",32.3,65.1,42.4,72.4,TRUE,0
"Willian Arão","Pass","Unsuccessful",32.7,60.6,85.6,0,TRUE,1
"Willian Arão","Pass","Successful",27.3,62,33.9,80.3,TRUE,0
"Willian Arão","Pass","Successful",27.8,58.1,31.7,27.4,TRUE,0
"Willian Arão","Pass","Successful",30.6,45.7,37.2,83,TRUE,0
"Willian Arão","Pass","Successful",54.6,81.7,37.7,94.8,TRUE,0
"Willian Arão","Pass","Successful",36.8,62.1,45.4,58.8,TRUE,0
"Willian Arão","Pass","Successful",54.6,55.4,63.2,69.6,TRUE,0
"Willian Arão","Pass","Successful",57.5,70.6,64.4,45.1,TRUE,0
"Willian Arão","Pass","Successful",70.2,72,91.5,89.6,TRUE,0
"Willian Arão","Pass","Successful",27.8,50.7,31.4,29.1,TRUE,0
"Willian Arão","Pass","Successful",65.4,72.9,69.4,25,TRUE,0
"Willian Arão","Pass","Successful",29.8,51.2,31.4,80.3,TRUE,0
"Willian Arão","Pass","Unsuccessful",34.4,87.8,42.9,72.7,TRUE,0
"Willian Arão","Pass","Successful",32.1,49.1,35,73.9,TRUE,0
"Willian Arão","Pass","Successful",46,50.7,54.9,46.4,TRUE,0
"Willian Arão","Pass","Successful",54.2,17.7,62.9,4.6,TRUE,0
"Willian Arão","Pass","Successful",61,65.2,48.3,83.3,TRUE,0
"Willian Arão","Pass","Successful",29.2,27.7,7.9,49.3,TRUE,0
"Willian Arão","Pass","Successful",30.1,73.8,29.6,87.8,TRUE,0
"Willian Arão","Pass","Successful",28,36,24.1,63.7,TRUE,0
"Willian Arão","Pass","Successful",41,17.3,48.7,23.1,TRUE,0
"Willian Arão","Pass","Successful",40,10,24.3,25.2,TRUE,0
"Willian Arão","Pass","Successful",39.3,56,44.4,18.2,TRUE,0
"Willian Arão","Pass","Successful",69.6,75.9,75,89.7,TRUE,0
"Willian Arão","Pass","Successful",62.2,35.2,53.5,68.1,TRUE,0
"Willian Arão","Pass","Successful",66.1,63.9,44.1,70.6,TRUE,0
"Willian Arão","Pass","Successful",45.7,20.9,65.2,18.9,TRUE,1
"Willian Arão","Pass","Successful",19.5,34.3,9.5,26.8,TRUE,0
"Willian Arão","Pass","Successful",12.4,35.1,25.3,54.8,TRUE,0
"Willian Arão","Pass","Successful",65.4,36.7,75.6,38.9,TRUE,1
"Willian Arão","Pass","Successful",54.2,54.2,47.5,30.4,TRUE,0
"Willian Arão","Pass","Unsuccessful",42,71.5,66.8,65.8,TRUE,1
"Willian Arão","Pass","Unsuccessful",44.5,77.2,69.8,88.3,TRUE,1
"Willian Arão","Pass","Successful",41.1,44.9,47.1,49,TRUE,0
"Willian Arão","Pass","Successful",39.8,44.9,46,39.1,TRUE,0
"Willian Arão","Pass","Successful",41.3,73.5,54.2,76.9,TRUE,0
"Willian Arão","Pass","Successful",35.7,78.1,31.4,88.9,TRUE,0
"Willian Arão","Pass","Successful",39.8,63,41.9,69.9,TRUE,0
"Willian Arão","Pass","Successful",34,64.5,53.9,65.5,TRUE,1
"Willian Arão","Pass","Successful",38,28.7,32.3,17.2,TRUE,0
"Willian Arão","Pass","Unsuccessful",29.2,16.5,43.7,18.8,TRUE,0
"Willian Arão","Pass","Successful",21.3,19.4,20,6.5,TRUE,0
"Willian Arão","Pass","Successful",36.5,27.6,37.5,4.4,TRUE,0
"Willian Arão","Pass","Successful",52.9,32.5,55.8,52.4,TRUE,0
"Willian Arão","Pass","Successful",28.4,60.8,33.8,64.5,TRUE,0
"Willian Arão","Pass","Successful",39.3,20.6,54.9,30,TRUE,1
"Willian Arão","Pass","Successful",52.6,43.7,44.9,30.1,TRUE,0
"Willian Arão","Pass","Successful",52,56.1,61.8,61.1,TRUE,0
"Willian Arão","Pass","Unsuccessful",67.5,38.8,70.2,41.2,TRUE,0
"Willian Arão","Pass","Successful",34.9,25.6,26.1,75.7,TRUE,0
"Willian Arão","Pass","Successful",39.8,71.2,35.8,79.4,TRUE,0
"Willian Arão","Pass","Successful",36.7,71.4,10.5,55.7,TRUE,0
"Willian Arão","Pass","Successful",64.2,67.5,75.3,96.9,TRUE,0
"Willian Arão","Pass","Successful",36.2,36.1,44.3,14.3,TRUE,0
"Willian Arão","Pass","Successful",52.3,29.5,53.4,44.6,TRUE,0
"Willian Arão","Pass","Successful",27.3,89.9,28.3,94.2,TRUE,0
"Willian Arão","Pass","Successful",55.9,59.4,74.8,81.7,TRUE,1
"Willian Arão","Pass","Successful",36.1,41.9,24.3,60.8,TRUE,0
"Willian Arão","Pass","Successful",38.9,49.3,47,51.1,TRUE,0
"Willian Arão","Pass","Successful",44.7,27.6,56.5,23.4,TRUE,0
"Willian Arão","Pass","Successful",57,65.1,59.5,77.5,TRUE,0
"Willian Arão","Pass","Successful",38.2,28.5,54,24.9,TRUE,0
"Willian Arão","Pass","Successful",30,24.9,55.4,6.7,TRUE,1
"Willian Arão","Pass","Successful",44.3,29.1,41.5,72.7,TRUE,0
"Willian Arão","Pass","Successful",60.7,24,57.8,70,TRUE,0
"Willian Arão","Pass","Successful",54,70.2,65.7,58.5,TRUE,1
"Willian Arão","Pass","Successful",41,31.5,93.1,4.1,TRUE,1
"Willian Arão","Pass","Unsuccessful",74.9,24.6,100,30.7,TRUE,1
"Willian Arão","Pass","Successful",56.6,25.3,42.8,17.7,TRUE,0
"Willian Arão","Pass","Successful",51.9,28.1,52.8,9.7,TRUE,0
"Willian Arão","Pass","Unsuccessful",32.3,33.3,33.6,30.1,TRUE,0
"Willian Arão","Pass","Unsuccessful",57,9.5,62.6,9.8,TRUE,0
"Willian Arão","Pass","Successful",28.1,55.8,25.9,70.9,TRUE,0
"Willian Arão","Pass","Successful",32.5,49.4,32.6,29.8,TRUE,0
"Willian Arão","Pass","Successful",22.6,43.4,18.2,68.7,TRUE,0
"Willian Arão","Pass","Successful",37.4,49.3,38.4,19.7,TRUE,0
"Willian Arão","Pass","Successful",28,48.4,29.7,75.3,TRUE,0
"Willian Arão","Pass","Successful",30.4,49.7,31,22.2,TRUE,0
"Willian Arão","Pass","Successful",31.7,39.8,36.7,16.7,TRUE,0
"Willian Arão","Pass","Successful",47.3,46.2,56.7,52.8,TRUE,0
"Willian Arão","Pass","Successful",30.6,48.8,34.1,92,TRUE,0
"Willian Arão","Pass","Successful",46.7,50.6,51.2,73.3,TRUE,0
"Willian Arão","Pass","Successful",22,55.4,27.6,72,TRUE,0
"Willian Arão","Pass","Successful",53.8,52.2,61.8,85.3,TRUE,0
"Willian Arão","Pass","Successful",65.8,68.1,68.5,33.9,TRUE,0
"Willian Arão","Pass","Successful",45.9,57.5,45.7,95.7,TRUE,0
"Willian Arão","Pass","Unsuccessful",54.3,14,63.4,22.1,TRUE,0
"Willian Arão","Pass","Successful",67.1,44.2,59.8,21.3,TRUE,0
"Willian Arão","Pass","Successful",68.8,6.4,65,15.5,TRUE,0
"Willian Arão","Pass","Successful",28.3,51.8,44.6,73,TRUE,0
"Willian Arão","Pass","Successful",52.8,13.8,36.1,34,TRUE,0
"Willian Arão","Pass","Successful",65.7,58.8,72.5,61.8,TRUE,0
"Willian Arão","Pass","Successful",66.1,61.4,70.3,86,TRUE,0
"Willian Arão","Pass","Successful",32.3,60.2,42,74.8,TRUE,0
"Willian Arão","Pass","Successful",41.8,61.4,42.4,28.5,TRUE,0
"Willian Arão","Pass","Successful",48.5,44.6,54.4,28.6,TRUE,0
"Willian Arão","Pass","Successful",61.9,68.2,70.8,72.3,TRUE,0
"Willian Arão","Pass","Successful",63.4,70,68.1,75.7,TRUE,0
"Willian Arão","Pass","Successful",55.2,20.3,89.4,16.2,TRUE,1
"Willian Arão","Pass","Successful",68.1,65.1,77.2,95.1,TRUE,0
"Willian Arão","Pass","Successful",65.7,81.4,62.2,42.1,TRUE,0
"Willian Arão","Pass","Successful",66.8,47.6,67.6,60.6,TRUE,0
"Willian Arão","Pass","Successful",64.2,47.2,68.7,51.6,TRUE,0
"Willian Arão","Pass","Unsuccessful",31.6,53.3,36.9,65.1,TRUE,0
"Willian Arão","Pass","Successful",62.7,49.9,68.7,17.3,TRUE,0
"Willian Arão","Pass","Successful",88.8,7.9,85.2,3.7,TRUE,0
"Willian Arão","Pass","Successful",65.4,12.3,54.7,33.1,TRUE,0
"Willian Arão","Pass","Successful",66.2,33.2,73.6,21.1,TRUE,0
"Willian Arão","Pass","Successful",63.7,18.5,73.6,32.7,TRUE,1
"Willian Arão","Pass","Successful",72.9,62.6,83.5,99,TRUE,0
"Willian Arão","Pass","Successful",36.7,38.9,51.3,70.5,TRUE,0
"Willian Arão","Pass","Successful",65.9,16.4,59.5,25.6,TRUE,0
"Willian Arão","Pass","Successful",50.2,70.2,56.5,58.8,TRUE,0
"Willian Arão","Pass","Successful",58.6,30.1,39.2,21.5,TRUE,0
"Willian Arão","Pass","Successful",48.6,66.9,45.8,25.2,TRUE,0
"Willian Arão","Pass","Successful",58.4,21.3,61.7,3.2,TRUE,0
"Willian Arão","Pass","Successful",79.1,16.8,89.8,35.8,TRUE,1
"Willian Arão","Pass","Successful",61.1,85.6,67.9,93.9,TRUE,0
"Willian Arão","Pass","Successful",62.4,92.4,38.2,92,TRUE,0
"Willian Arão","Pass","Successful",38.1,67.3,36.7,25,TRUE,0
"Willian Arão","Pass","Unsuccessful",37.5,69.1,65.5,27.7,TRUE,1
"Willian Arão","Pass","Successful",39.8,50.3,55.2,78.5,TRUE,0
"Willian Arão","Pass","Successful",48.7,57.2,41.6,78.8,TRUE,0
"Willian Arão","Pass","Successful",69.2,37.1,72.9,21,TRUE,0
"Willian Arão","Pass","Successful",70,42.4,71.7,65.5,TRUE,0
"Willian Arão","Pass","Successful",48.3,40.7,49.9,20.4,TRUE,0
"Willian Arão","Pass","Successful",52.2,45.2,63,69,TRUE,0
"Willian Arão","Pass","Successful",60.3,59.3,72.2,62.6,TRUE,1
"Willian Arão","Pass","Unsuccessful",24.1,28.3,39.7,21.3,TRUE,0
"Willian Arão","Pass","Successful",72.8,47,75.5,77.8,TRUE,0
"Willian Arão","Pass","Successful",62.3,70.8,70.8,71.2,TRUE,0
"Willian Arão","Pass","Successful",56.7,20.9,44,46.4,TRUE,0
"Willian Arão","Pass","Successful",45,25.5,44.7,33.7,TRUE,0
"Willian Arão","Pass","Successful",76.9,36.7,88.3,39.7,TRUE,1
"Willian Arão","Pass","Unsuccessful",71.2,9.7,92,0,TRUE,0
"Willian Arão","Pass","Successful",46.6,50,32.6,39.8,TRUE,0
"Willian Arão","Pass","Successful",63.2,29.4,70.8,42.1,TRUE,1
"Willian Arão","Pass","Unsuccessful",64.2,32.5,76.4,38.6,TRUE,1
"Willian Arão","Pass","Successful",49.4,28.2,56,37.6,TRUE,0
"Willian Arão","Pass","Successful",51.6,49.6,63.1,62,TRUE,0
"Willian Arão","Pass","Successful",63.4,49.9,67.7,64.9,TRUE,0
"Willian Arão","Pass","Successful",59.9,49.9,69,20.6,TRUE,0
"Willian Arão","Pass","Successful",65.7,9.1,55.3,21.5,TRUE,0
"Willian Arão","Pass","Successful",48.6,27.6,37.4,17,TRUE,0
"Willian Arão","Pass","Successful",36,63.1,50.5,41.9,TRUE,0
"Willian Arão","Pass","Successful",66.2,35.5,72.1,5.3,TRUE,0
"Willian Arão","Pass","Successful",26.4,73.9,37.2,89.4,TRUE,0
"Willian Arão","Pass","Successful",35.7,87.7,34.9,97.1,TRUE,0
"Willian Arão","Pass","Successful",55,31.8,50.7,26.2,TRUE,0
"Willian Arão","Pass","Successful",56.4,64.9,64.7,57.5,TRUE,0
"Willian Arão","Pass","Successful",66.7,14,72.4,8.5,TRUE,0
"Willian Arão","Pass","Successful",63.3,21.3,59,9.7,TRUE,0
